YEAR_FILTER,AGE_FILTER,INTAKE_FILTER,DOG_STAYS,MEDIAN_WAIT_DAYS,AVERAGE_WAIT_DAYS
All,Adult,All intake types,12674,6.0,26.8
All,Adult,Other,2016,8.1,16.7
All,Adult,Owner surrender,3282,10.2,42.3
All,Adult,Stray,7376,4.3,22.6
All,All dogs,All intake types,89723,6.0,21.2
All,All dogs,Other,9159,8.3,19.2
All,All dogs,Owner surrender,19942,6.9,29.2
All,All dogs,Stray,60622,5.3,18.9
All,Puppy,All intake types,45735,5.9,16.7
All,Puppy,Other,3024,9.0,18.6
All,Puppy,Owner surrender,10103,5.0,18.9
All,Puppy,Stray,32608,5.8,15.9
All,Senior,All intake types,7446,3.8,23.8
All,Senior,Other,1066,6.1,16.4
All,Senior,Owner surrender,1747,7.1,45.2
All,Senior,Stray,4633,2.1,17.5
All,Unknown,All intake types,7,4.1,8.9
All,Unknown,Other,2,4.6,4.6
All,Unknown,Owner surrender,2,21.1,21.1
All,Unknown,Stray,3,4.1,3.6
All,Young,All intake types,23861,7.1,26.2
All,Young,Other,3051,8.9,22.4
All,Young,Owner surrender,4808,10.3,36.1
All,Young,Stray,16002,6.1,23.9
2014,Adult,All intake types,1769,5.1,19.1
2014,Adult,Other,271,8.0,11.5
2014,Adult,Owner surrender,364,7.8,27.7
2014,Adult,Stray,1134,4.2,18.1
2014,All dogs,All intake types,10552,5.1,16.3
2014,All dogs,Other,1006,8.0,11.5
2014,All dogs,Owner surrender,2009,5.1,18.9
2014,All dogs,Stray,7537,5.0,16.2
2014,Puppy,All intake types,4993,5.1,13.8
2014,Puppy,Other,247,8.3,11.8
2014,Puppy,Owner surrender,1036,4.1,13.7
2014,Puppy,Stray,3710,5.1,14.0
2014,Senior,All intake types,887,2.9,14.1
2014,Senior,Other,134,4.2,7.5
2014,Senior,Owner surrender,139,6.0,27.0
2014,Senior,Stray,614,1.9,12.6
2014,Young,All intake types,2903,6.2,19.5
2014,Young,Other,354,8.8,12.9
2014,Young,Owner surrender,470,6.9,21.2
2014,Young,Stray,2079,5.9,20.2
2015,Adult,All intake types,1730,5.0,19.8
2015,Adult,Other,261,8.0,12.1
2015,Adult,Owner surrender,357,8.0,29.2
2015,Adult,Stray,1112,4.1,18.6
2015,All dogs,All intake types,10287,5.1,16.8
2015,All dogs,Other,970,8.0,13.9
2015,All dogs,Owner surrender,1880,5.9,21.0
2015,All dogs,Stray,7437,5.0,16.1
2015,Puppy,All intake types,4687,5.1,13.3
2015,Puppy,Other,234,8.0,13.1
2015,Puppy,Owner surrender,856,4.2,14.4
2015,Puppy,Stray,3597,5.1,13.1
2015,Senior,All intake types,990,3.0,17.8
2015,Senior,Other,147,5.3,15.9
2015,Senior,Owner surrender,174,7.1,24.3
2015,Senior,Stray,669,2.0,16.5
2015,Unknown,All intake types,1,5.8,5.8
2015,Unknown,Stray,1,5.8,5.8
2015,Young,All intake types,2879,6.1,20.2
2015,Young,Other,328,8.8,15.1
2015,Young,Owner surrender,493,7.2,25.2
2015,Young,Stray,2058,5.8,19.9
2016,Adult,All intake types,1551,5.1,22.6
2016,Adult,Other,233,7.9,12.4
2016,Adult,Owner surrender,337,9.0,26.7
2016,Adult,Stray,981,4.2,23.7
2016,All dogs,All intake types,9903,5.1,17.7
2016,All dogs,Other,886,8.1,15.8
2016,All dogs,Owner surrender,1923,6.2,23.4
2016,All dogs,Stray,7094,4.9,16.4
2016,Puppy,All intake types,4920,5.1,13.5
2016,Puppy,Other,250,8.8,11.4
2016,Puppy,Owner surrender,906,4.1,17.6
2016,Puppy,Stray,3764,5.0,12.6
2016,Senior,All intake types,940,3.5,22.3
2016,Senior,Other,117,7.0,23.9
2016,Senior,Owner surrender,215,8.1,38.0
2016,Senior,Stray,608,2.0,16.5
2016,Unknown,All intake types,1,42.1,42.1
2016,Unknown,Owner surrender,1,42.1,42.1
2016,Young,All intake types,2491,6.1,21.2
2016,Young,Other,286,8.9,19.1
2016,Young,Owner surrender,464,8.6,25.7
2016,Young,Stray,1741,5.2,20.4
2017,Adult,All intake types,1544,5.0,17.9
2017,Adult,Other,246,9.0,15.7
2017,Adult,Owner surrender,410,6.2,28.8
2017,Adult,Stray,888,4.0,13.4
2017,All dogs,All intake types,9893,5.0,15.1
2017,All dogs,Other,1040,9.0,16.0
2017,All dogs,Owner surrender,2119,4.2,21.9
2017,All dogs,Stray,6734,4.4,12.9
